Recipt ID : 47213527 | Transaction ID : 03484869 | Transaction Date : 09/08/2022 | Sale Amount : 20.89 | Sum Amount : 20.89
Recipt ID : 58462358 | Transaction ID : 85471259 | Transaction Date : 23/08/2022 | Sale Amount : 79.66 | Sum Amount : 100.55
Recipt ID : 18496352 | Transaction ID : 08687485 | Transaction Date : 10/03/2023 | Sale Amount : 84.64 | Sum Amount : 185.19
Recipt ID : 85475826 | Transaction ID : 14253268 | Transaction Date : 23/11/2023 | Sale Amount : 11 | Sum Amount : 196.19
Recipt ID : 89658754 | Transaction ID : 25014142 | Transaction Date : 04/07/2023 | Sale Amount : 110.5 | Sum Amount : 306.69
Recipt ID : 84758496 | Transaction ID : 25135857 | Transaction Date : 20/01/2023 | Sale Amount : 36.33 | Sum Amount : 343.02
Recipt ID : 74859625 | Transaction ID : 47584526 | Transaction Date : 25/02/2023 | Sale Amount : 101.4 | Sum Amount : 444.41999999999996
Recipt ID : 95682635 | Transaction ID : 74857508 | Transaction Date : 03/10/2023 | Sale Amount : 9.25 | Sum Amount : 453.66999999999996
Recipt ID : 18452569 | Transaction ID : 85784836 | Transaction Date : 06/04/2023 | Sale Amount : 70 | Sum Amount : 523.67
Recipt ID : 14852458 | Transaction ID : 36258495 | Transaction Date : 07/08/2023 | Sale Amount : 9434 | Sum Amount : 9957.67
Recipt ID : 86598748 | Transaction ID : 26351548 | Transaction Date : 28/11/2023 | Sale Amount : 45 | Sum Amount : 10002.67
Recipt ID : 58978541 | Transaction ID : 62535985 | Transaction Date : 30/01/2023 | Sale Amount : 22.1 | Sum Amount : 10024.77
Recipt ID : 48574853 | Transaction ID : 15703659 | Transaction Date : 16/03/2023 | Sale Amount : 54.57 | Sum Amount : 10079.34
Recipt ID : 69587562 | Transaction ID : 14875805 | Transaction Date : 15/04/2023 | Sale Amount : 24.5 | Sum Amount : 10103.84
Recipt ID : 85687562 | Transaction ID : 14878547 | Transaction Date : 15/05/2023 | Sale Amount : 52.16 | Sum Amount : 10156
Recipt ID : 15248763 | Transaction ID : 85748625 | Transaction Date : 19/06/2023 | Sale Amount : 11000 | Sum Amount : 21156
Recipt ID : 15423625 | Transaction ID : 47748625 | Transaction Date : 15/02/2023 | Sale Amount : 18.6 | Sum Amount : 21174.6
Recipt ID : 85874868 | Transaction ID : 36598137 | Transaction Date : 15/03/2023 | Sale Amount : 64.37 | Sum Amount : 21238.969999999998
Recipt ID : 85956247 | Transaction ID : 36598852 | Transaction Date : 15/10/2023 | Sale Amount : 67.2 | Sum Amount : 21306.17
Recipt ID : 59623054 | Transaction ID : 58462584 | Transaction Date : 22/10/2023 | Sale Amount : 25.76 | Sum Amount : 21331.929999999997
Recipt ID : 14523054 | Transaction ID : 25802584 | Transaction Date : 21/11/2023 | Sale Amount : 174.56 | Sum Amount : 21506.489999999998
Recipt ID : 25491845 | Transaction ID : 16254812 | Transaction Date : 11/12/2023 | Sale Amount : 111.6 | Sum Amount : 21618.089999999997
Recipt ID : 25148669 | Transaction ID : 84984564 | Transaction Date : 08/08/2023 | Sale Amount : 24.92 | Sum Amount : 21643.009999999995
Recipt ID : 85978669 | Transaction ID : 65408465 | Transaction Date : 15/08/2023 | Sale Amount : 46.28 | Sum Amount : 21689.289999999994
Recipt ID : 98659847 | Transaction ID : 80564465 | Transaction Date : 26/01/2023 | Sale Amount : 68.32 | Sum Amount : 21757.609999999993
Recipt ID : 98574854 | Transaction ID : 74565846 | Transaction Date : 03/01/2023 | Sale Amount : 17.7 | Sum Amount : 21775.309999999994
Recipt ID : 78485601 | Transaction ID : 06526020 | Transaction Date : 30/03/2023 | Sale Amount : 4400 | Sum Amount : 26175.309999999994
Recipt ID : 89565654 | Transaction ID : 89456156 | Transaction Date : 16/04/2023 | Sale Amount : 61.2 | Sum Amount : 26236.509999999995
Recipt ID : 15485142 | Transaction ID : 14224214 | Transaction Date : 16/05/2023 | Sale Amount : 76.5 | Sum Amount : 26313.009999999995
